taxon,lfc,se,W,p,q,diff_robust,passed_ss,Fraction,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV13,1.528451042,0.600421638,2.545629512,0.017749351,0.042852795,TRUE,TRUE,Bulk,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV13_Blastocatella
ASV130,-0.465182174,0.528200625,-0.880692206,0.387218924,0.523725421,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Piscinibacter,Piscinibacter,ASV130_Piscinibacter
ASV1306,0.227288819,0.481839591,0.471710552,0.641393742,0.754294613,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,Roseisolibacter,ASV1306_Roseisolibacter
ASV1309,-0.41825593,0.564165869,-0.741370496,0.465661922,0.601479983,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV1309_Tautonia
ASV131,-1.123086746,0.835899745,-1.343566322,0.191655068,0.29825839,FALSE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rubellimicrobium,Rubellimicrobium,ASV131_Rubellimicrobium
ASV1310,-1.015072537,0.449029085,-2.260594181,0.033131654,0.070348033,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter,ASV1310_Solirubrobacter
ASV1311,-2.915129441,0.463302743,-6.292061691,1.67E-06,4.31E-05,TRUE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV1311_WD2101_Bulk_group
ASV1312,-0.978854982,0.536894796,-1.823178374,0.080757307,0.147959605,FALSE,TRUE,Bulk,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira,ASV1312_Nitrospira
ASV1316,-1.445044014,0.562904118,-2.567122832,0.01691296,0.041218691,FALSE,FALSE,Bulk,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,Tumebacillus,ASV1316_Tumebacillus
ASV1319,0.032261556,0.471822642,0.068376447,0.946052463,0.964598996,FALSE,TRUE,Bulk,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,Gemmatimonadaceae,ASV1319_Gemmatimonadaceae
