taxon,lfc,se,W,p,q,diff_robust,passed_ss,Biocrust,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV1070,0.811938945,0.634587142,1.279475883,0.212961164,0.395309598,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1070_Armatimonadaceae
ASV1073,0.244257411,0.503801641,0.484828533,0.632193763,0.804275617,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,NA,Pedosphaeraceae,ASV1073_Pedosphaeraceae
ASV1075,-1.055936532,0.70758596,-1.492308485,0.148647871,0.300736665,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1075_AKIW781
ASV1078,-0.379644866,0.577890567,-0.656949409,0.517464212,0.712226332,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1078_AKIW781
ASV108,-3.507811149,0.642532108,-5.459355426,1.31E-05,2.48E-04,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV108_JG30-KF-CM45
ASV1082,-1.163472672,0.686938245,-1.693707813,0.103262004,0.23381086,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,WD2101_soil_group,ASV1082_WD2101_soil_group
ASV1083,-1.703620511,0.501052893,-3.400081178,0.002357123,0.014406474,TRUE,TRUE,L-BSC,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,Haliangiaceae,ASV1083_Haliangiaceae
ASV1094,-1.601271624,0.55011992,-2.910768297,0.007663618,0.034000009,TRUE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Rufibacter,Rufibacter,ASV1094_Rufibacter
ASV110,-1.788257142,0.869012606,-2.057803455,0.050627865,0.140160918,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella,ASV110_Blastocatella
ASV1105,-1.073660602,0.687280793,-1.562186247,0.131335135,0.277263063,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum,ASV1105_Azospirillum
ASV1107,-0.707794446,0.639925715,-1.106057203,0.279665979,0.479270717,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloronema,Chloronema,ASV1107_Chloronema
ASV1111,0.37688184,0.691317297,0.545164778,0.590671104,0.775144962,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1111_Armatimonadaceae
ASV1112,-1.263049006,0.581075536,-2.173639963,0.039824625,0.117590279,FALSE,TRUE,L-BSC,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus,ASV1112_Myxococcus
ASV1113,-0.725151793,0.678405809,-1.068905636,0.295745802,0.497928683,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter,ASV1113_Flavisolibacter
ASV1114,-1.909958483,0.610019791,-3.130977898,0.004536922,0.023347827,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,NA,Beijerinckiaceae,ASV1114_Beijerinckiaceae
ASV1115,0.507054305,0.59442764,0.853012665,0.402085467,0.609368987,FALSE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV1115_Longimicrobiaceae
ASV1119,1.952880291,0.628766219,3.105892511,0.004818887,0.024205215,TRUE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV1119_Armatimonadaceae
ASV1124,-1.000600496,0.52839301,-1.893667171,0.070385457,0.178309824,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,Sphingomonadaceae,ASV1124_Sphingomonadaceae
ASV1125,-2.575656251,0.584185642,-4.408968767,1.87E-04,0.002006624,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,JG30-KF-CM45,ASV1125_JG30-KF-CM45
ASV1126,2.250231931,0.611923648,3.677308334,0.001185653,0.008493938,TRUE,TRUE,L-BSC,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV1126_Longimicrobiaceae
ASV1128,-1.517975694,0.641417559,-2.366595165,0.026363934,0.085026118,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,NA,Beijerinckiaceae,ASV1128_Beijerinckiaceae
ASV113,-3.357348335,0.654625343,-5.128656219,3.00E-05,4.95E-04,TRUE,TRUE,L-BSC,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Archangium,Archangium,ASV113_Archangium
ASV1131,-0.686231181,0.600577755,-1.142618379,0.264468169,0.462330873,FALSE,TRUE,L-BSC,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,NA,Pedosphaeraceae,ASV1131_Pedosphaeraceae
ASV1132,-2.599122798,0.474822196,-5.473886478,1.26E-05,2.44E-04,TRUE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Thermobaculales,Thermobaculaceae,Thermobaculum,Thermobaculum,ASV1132_Thermobaculum
ASV1133,-1.129461974,0.646782952,-1.746276662,0.09355229,0.219807519,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Nibrella,Nibrella,ASV1133_Nibrella
ASV1137,-2.096353584,0.578889456,-3.621336616,0.001363251,0.009342522,TRUE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Psychroglaciecola,Psychroglaciecola,ASV1137_Psychroglaciecola
ASV114,-0.948129038,0.670836807,-1.413352738,0.170391622,0.332415799,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter,ASV114_Hymenobacter
ASV1140,-1.169275129,0.479440761,-2.43883129,0.022505953,0.075364763,FALSE,TRUE,L-BSC,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,Subgroup_10,ASV1140_Subgroup_10
